0,10;0,46;374,51;1,00;0,36;420,33;5,00;0,34;491,74;10,00;0,32;551,02;15,00;0,44;602,21;20,00;0,49;679,00;25,00;0,66;763,87;30,00;0,99;827,16;35,00;1,57;837,89
0,10;0,64;369,11;1,00;0,53;413,58;5,00;0,46;479,60;10,00;0,48;540,23;15,00;0,58;590,07;20,00;0,63;660,13;25,00;0,73;746,35;30,00;1,03;808,29;35,00;1,64;817,67
0,10;0,88;362,35;1,00;0,72;405,48;5,00;0,65;467,46;10,00;0,70;528,08;15,00;0,74;577,93;20,00;0,79;643,94;25,00;0,82;728,82;30,00;1,13;789,42;35,00;1,74;800,15
0,10;1,09;355,60;1,00;0,90;397,38;5,00;0,86;455,32;10,00;0,95;514,59;15,00;0,93;565,79;20,00;0,98;627,76;25,00;0,96;709,95;30,00;1,22;771,90;35,00;1,86;782,63
0,10;1,33;348,84;1,00;1,09;390,62;5,00;1,07;444,52;10,00;1,19;503,79;15,00;1,14;553,64;20,00;1,24;610,22;25,00;1,10;692,42;30,00;1,34;754,38;35,00;1,97;761,06
0,10;1,51;343,43;1,00;1,28;383,87;5,00;1,35;435,06;10,00;1,42;494,34;15,00;1,33;544,20;20,00;1,47;596,73;25,00;1,31;672,19;30,00;1,48;736,85;35,00;2,18;735,44
0,10;1,70;338,03;1,00;1,49;377,12;5,00;1,63;425,61;10,00;1,61;486,24;15,00;1,52;536,10;20,00;1,73;581,89;25,00;1,52;654,66;30,00;1,67;716,62;35,00;2,40;713,87
0,10;1,89;331,28;1,00;1,70;370,36;5,00;1,92;418,85;10,00;1,89;475,44;15,00;1,75;527,99;20,00;2,04;568,39;25,00;1,73;638,47;30,00;1,85;697,75;35,00;2,63;693,64
0,10;2,13;325,87;1,00;1,94;363,61;5,00;2,20;410,74;10,00;2,18;465,98;15,00;1,99;519,89;20,00;2,37;554,89;25,00;1,97;623,63;30,00;2,11;677,51;35,00;2,86;674,75
0,10;2,34;319,11;1,00;2,17;356,85;5,00;2,48;402,63;10,00;2,44;457,88;15,00;2,27;510,43;20,00;2,70;541,39;25,00;2,20;608,79;30,00;2,32;662,68;35,00;3,17;654,52
0,10;2,60;312,35;1,00;2,41;350,09;5,00;2,81;394,52;10,00;2,69;449,77;15,00;2,55;502,33;20,00;3,07;527,88;25,00;2,49;595,30;30,00;2,58;645,14;35,00;3,52;635,63
0,10;2,83;305,60;1,00;2,64;343,34;5,00;3,12;386,41;10,00;2,98;441,66;15,00;2,81;494,22;20,00;3,47;515,72;25,00;2,77;581,80;30,00;2,86;627,60;35,00;3,87;618,08
0,10;3,07;298,84;1,00;2,88;336,58;5,00;3,40;379,65;10,00;3,26;433,55;15,00;3,10;486,11;20,00;3,82;504,91;25,00;3,12;566,95;30,00;3,17;611,41;35,00;4,25;600,53
0,10;3,28;292,08;1,00;3,09;331,17;5,00;3,68;371,54;10,00;3,59;425,44;15,00;3,40;478,00;20,00;4,22;494,10;25,00;3,50;552,10;30,00;3,54;593,86;35,00;4,67;582,98
0,10;3,51;285,33;1,00;3,33;324,42;5,00;3,99;363,43;10,00;3,92;417,33;15,00;3,66;469,90;20,00;4,60;484,64;25,00;3,90;537,24;30,00;3,87;580,36;35,00;5,07;566,78
0,10;3,75;278,57;1,00;3,56;317,66;5,00;4,29;355,32;10,00;4,22;409,22;15,00;4,01;460,43;20,00;5,00;475,17;25,00;4,25;525,08;30,00;4,23;566,85;35,00;5,45;554,62
0,10;3,98;271,81;1,00;3,84;309,55;5,00;4,62;345,86;10,00;4,58;399,76;15,00;4,36;452,32;20,00;5,38;464,36;25,00;4,63;514,27;30,00;4,63;552,00;35,00;5,87;541,11
0,10;4,22;265,06;1,00;4,10;301,44;5,00;4,97;336,40;10,00;4,90;391,65;15,00;4,69;442,86;20,00;5,85;452,19;25,00;5,00;502,12;30,00;5,03;539,84;35,00;6,27;530,30
0,10;4,45;258,30;1,00;4,36;294,69;5,00;5,33;326,94;10,00;5,23;382,19;15,00;5,00;434,75;20,00;6,32;440,03;25,00;5,38;492,65;30,00;5,45;527,68;35,00;6,70;519,49
0,10;4,67;251,55;1,00;4,64;286,58;5,00;5,68;317,48;10,00;5,66;371,37;15,00;5,35;426,64;20,00;6,81;427,86;25,00;5,85;480,49;30,00;5,78;519,56;35,00;7,10;510,02
0,10;4,90;244,79;1,00;4,92;278,47;5,00;6,06;308,01;10,00;6,01;361,91;15,00;5,71;417,18;20,00;7,26;415,70;25,00;6,34;468,32;30,00;6,08;511,45;35,00;7,50;499,21
0,10;5,18;238,03;1,00;5,18;271,71;5,00;6,41;298,55;10,00;6,32;353,80;15,00;6,01;409,07;20,00;7,68;404,88;25,00;6,76;457,50;30,00;6,37;503,35;35,00;7,87;489,74
0,10;5,46;228,57;1,00;5,49;262,25;5,00;6,78;287,74;10,00;6,62;345,69;15,00;6,34;400,95;20,00;8,20;392,71;25,00;7,24;445,34;30,00;6,70;495,23;35,00;8,20;480,29
0,10;5,79;220,46;1,00;5,79;254,14;5,00;7,09;279,63;10,00;6,93;337,58;15,00;6,69;391,49;20,00;8,65;380,55;25,00;7,75;433,17;30,00;7,07;485,77;35,00;8,62;470,82
0,10;6,10;211,00;1,00;6,12;244,68;5,00;7,35;272,87;10,00;7,21;329,47;15,00;7,02;382,03;20,00;9,12;368,38;25,00;8,34;418,30;30,00;7,47;476,31;35,00;9,05;460,00
0,10;6,38;202,90;1,00;6,41;236,58;5,00;7,80;262,06;10,00;7,56;321,36;15,00;7,40;372,57;20,00;9,63;354,86;25,00;8,76;407,48;30,00;7,87;465,49;35,00;9,42;450,54
0,10;6,66;193,44;1,00;6,71;228,47;5,00;8,12;252,60;10,00;7,89;313,25;15,00;7,75;363,11;20,00;10,15;341,35;25,00;9,16;396,67;30,00;8,25;457,38;35,00;9,87;439,72
0,10;6,90;186,68;1,00;7,09;217,66;5,00;8,43;243,14;10,00;8,20;305,14;15,00;8,10;353,65;20,00;10,55;330,53;25,00;9,66;384,50;30,00;8,65;445,22;35,00;10,20;430,26
0,10;7,13;179,93;1,00;7,39;208,20;5,00;8,81;233,68;10,00;8,48;297,03;15,00;8,46;345,53;20,00;10,93;321,07;25,00;10,17;372,33;30,00;9,05;434,40;35,00;10,55;422,15
0,10;7,42;173,17;1,00;7,65;201,44;5,00;9,14;225,56;10,00;8,81;288,92;15,00;8,86;334,72;20,00;11,28;312,96;25,00;10,62;360,17;30,00;9,52;423,59;35,00;10,95;412,68
0,10;7,65;166,41;1,00;7,91;194,68;5,00;9,44;216,11;10,00;9,21;278,10;15,00;9,21;325,26;20,00;11,58;304,85;25,00;11,04;349,35;30,00;9,96;412,77;35,00;11,40;400,52
0,10;7,86;159,66;1,00;8,19;185,23;5,00;9,77;207,99;10,00;9,56;268,64;15,00;9,61;314,45;20,00;12,10;291,33;25,00;11,44;338,54;30,00;10,41;401,95;35,00;11,77;391,06
0,10;8,10;152,90;1,00;8,48;177,12;5,00;10,12;198,53;10,00;9,89;260,53;15,00;10,01;304,98;;;;25,00;11,80;330,43;30,00;10,93;388,43;35,00;12,08;384,29
0,10;8,33;146,14;1,00;8,78;169,01;5,00;10,45;190,42;10,00;10,19;252,42;15,00;10,41;294,17;;;;25,00;12,10;322,32;30,00;11,35;377,62;;;
0,10;8,57;139,39;1,00;9,09;160,90;5,00;10,73;182,31;10,00;10,52;242,96;15,00;10,83;283,35;;;;;;;30,00;11,75;366,81;;;
0,10;8,80;132,63;1,00;9,35;152,79;5,00;10,99;174,21;10,00;10,83;234,85;15,00;11,23;272,54;;;;;;;30,00;12,10;358,69;;;
0,10;9,04;125,87;1,00;9,60;146,03;5,00;11,30;167,44;10,00;11,14;226,74;15,00;11,61;263,08;;;;;;;;;;;;
0,10;9,27;119,12;1,00;9,89;137,93;5,00;11,63;159,33;10,00;11,44;218,63;15,00;11,89;254,97;;;;;;;;;;;;
0,10;9,49;112,36;1,00;10,17;129,82;5,00;11,89;149,88;10,00;11,77;210,52;15,00;12,15;248,21;;;;;;;;;;;;
0,10;9,72;105,60;1,00;10,43;121,71;5,00;12,12;143,12;10,00;12,12;201,06;;;;;;;;;;;;;;;
0,10;9,96;97,50;1,00;10,71;114,95;;;;;;;;;;;;;;;;;;;;;
0,10;10,21;90,74;1,00;11,01;105,49;;;;;;;;;;;;;;;;;;;;;
0,10;10,47;82,64;1,00;11,30;96,04;;;;;;;;;;;;;;;;;;;;;
0,10;10,71;75,88;1,00;11,56;87,93;;;;;;;;;;;;;;;;;;;;;
0,10;10,92;69,12;1,00;11,86;79,82;;;;;;;;;;;;;;;;;;;;;
0,10;11,13;62,37;1,00;12,17;71,71;;;;;;;;;;;;;;;;;;;;;
0,10;11,39;55,61;;;;;;;;;;;;;;;;;;;;;;;;
0,10;11,67;47,50;;;;;;;;;;;;;;;;;;;;;;;;
0,10;11,95;39,39;;;;;;;;;;;;;;;;;;;;;;;;
0,10;12,19;32,64;;;;;;;;;;;;;;;;;;;;;;;;
